experiment,version,subjID,completed,system,day,overall_block,block,domain_type,response_type,motor_time_type,motor_condition,time_condition,mean_accuracy,mean_confidence,median_confidence,mean_total_RT,mean_log_RT,sensitivity,criterion,metad,efficiency,m_difference,include_block
報告順序と記憶メタ認知: 2.0,experiment2,006_HM,1,booth 5,3,8,2,memory,confidence_then_decision,MR_TU,randomised,unconstrained,0.74,2.93,3,1.63808577699992,0.203280976543276,1.30932003268742,-0.186961217229203,1.84424799014571,1.44234670654513,0.56560397080083,1
報告順序と記憶メタ認知: 2.0,experiment2,006_HM,1,booth 5,2,6,3,memory,decision_and_confidence,MR_TU,randomised,unconstrained,0.78,3.33,4,1.65245577699981,0.197879156541013,1.547923796413,0.0676593353664134,2.22938247114507,1.4756411062935,0.718593389953905,1
報告順序と記憶メタ認知: 2.0,experiment2,006_HM,1,booth 5,1,1,1,memory,decision_then_confidence,MR_TU,randomised,unconstrained,0.783505154639175,2.64948453608247,3,2.67920406082497,0.416822557254585,1.59449325376538,-0.17017493921901,2.08820183298713,1.34431578072744,0.534845201365092,1
報告順序と記憶メタ認知: 2.0,experiment2,007_SS,1,booth 7,3,7,1,memory,confidence_then_decision,MF_TU,fixed,unconstrained,0.68,1.78,2,1.24031943499809,0.0799407147711085,0.936863642149446,0.055968691633318,1.50848368141868,1.64489366777588,0.591413045808324,1
報告順序と記憶メタ認知: 2.0,experiment2,007_SS,1,booth 7,2,6,3,memory,decision_and_confidence,MF_TU,fixed,unconstrained,0.69,1.84,2,0.856188701998908,-0.0898519824493377,1.00180419864411,0.142443306070862,0.708945721946933,0.723388128001276,-0.271089330474722,1
報告順序と記憶メタ認知: 2.0,experiment2,007_SS,1,booth 7,1,2,2,memory,decision_then_confidence,MF_TU,fixed,unconstrained,0.58,1.52,1,1.45701239599948,0.145265975066429,0.412463129441405,0.206231564720702,0.595049344114017,1.47320082240628,0.191133370769608,0
報告順序と記憶メタ認知: 2.0,experiment2,007_SS,1,booth 7,3,8,2,memory,confidence_then_decision,MR_TC,randomised,constrained,0.757575757575758,1.70707070707071,2,1.54982252726496,0.183340659618047,1.44882479527668,-0.256713598523834,0.781271855421841,0.553301945746036,-0.630745328736849,1
報告順序と記憶メタ認知: 2.0,experiment2,007_SS,1,booth 7,2,4,1,memory,decision_and_confidence,MR_TC,randomised,constrained,0.71,1.71,2,1.29101070100325,0.0981468777802669,1.11104420450743,-0.0878233031392043,1.32266602199572,1.21707710018042,0.235909873351031,1
報告順序と記憶メタ認知: 2.0,experiment2,007_SS,1,booth 7,1,3,3,memory,decision_then_confidence,MR_TC,randomised,constrained,0.56,1.17,1,1.49931508900088,0.165233052741293,0.329494404135416,-0.418094305203508,0.892783450448509,2.77435129516962,0.570984458373165,0
報告順序と記憶メタ認知: 2.0,experiment2,007_SS,1,booth 7,3,9,3,memory,confidence_then_decision,MR_TU,randomised,unconstrained,0.68,1.73,2,1.47831468899967,0.162896950943097,0.959649665975887,0.226477729852144,-0.946311403874292,-1.00856821600966,-1.88458348984019,1
報告順序と記憶メタ認知: 2.0,experiment2,007_SS,1,booth 7,2,5,2,memory,decision_and_confidence,MR_TU,randomised,unconstrained,0.72,1.65,2,1.37778547599446,0.116685980015754,1.18465634363009,0.17986504237364,0.928556382031147,0.802071652609376,-0.229141161586407,1
報告順序と記憶メタ認知: 2.0,experiment2,007_SS,1,booth 7,1,1,1,memory,decision_then_confidence,MR_TU,randomised,unconstrained,0.704081632653061,1.63265306122449,2,2.00724053061246,0.287923468812484,1.0728204444908,-0.0295385996874648,0.551204841844648,0.525339706260065,-0.498030225058478,1
報告順序と記憶メタ認知: 2.0,experiment2,008_SE,1,booth 5,3,7,1,memory,confidence_then_decision,MF_TU,fixed,unconstrained,0.676767676767677,2.26262626262626,2,1.48136756868687,0.140885125725277,0.928520233738046,0.179085288523894,0.200435275204721,0.220689433733133,-0.707787976874923,1
報告順序と記憶メタ認知: 2.0,experiment2,008_SE,1,booth 5,2,6,3,memory,decision_and_confidence,MF_TU,fixed,unconstrained,0.71,2.5,2,1.25202425999999,0.0529177742735573,1.13065200743988,-0.206867210468745,0.917803486951626,0.830657238299012,-0.187108918110983,1
報告順序と記憶メタ認知: 2.0,experiment2,008_SE,1,booth 5,1,2,2,memory,decision_then_confidence,MF_TU,fixed,unconstrained,0.7,2.58,3,1.24967788199996,0.0758260327378733,1.14542709870653,-0.421744333856488,0.321537561052597,0.288268836365329,-0.793871114774943,1
