block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,interval,interTrial.interval,Mean,Standard deviation,SR_conf,RTrating,sub,age,gender,handedness,
3,Main,17,0.667737300042063,['right'],1,180,left,0.3130612244897959,2.340512912441985,2.3543399701532994,2.375,0.05,0.3999999999999999,0.7101770000299439,0,30,Man,Right,
3,Main,18,0.5286049999995157,['left'],1,0,right,0.19183673469387755,2.4308742139413977,1.7942009592556587,2.375,0.05,0.52,0.8812935000169091,0,30,Man,Right,
3,Main,19,0.5384138000081293,['right'],1,180,left,0.9191836734693878,2.2474150239716377,2.368870404343908,2.375,0.05,0.96,1.0071581000229344,0,30,Man,Right,
3,Main,20,0.61462260002736,['left'],0,180,left,0.11102040816326529,2.3369953704485105,3.25774109432534,2.375,0.05,-0.18000000000000005,1.4924757000408135,0,30,Man,Right,
3,Main,21,0.5255980000365525,['left'],1,0,right,0.15142857142857144,2.4059015353760267,2.5610776023201325,2.375,0.05,0.3400000000000001,0.634811100026127,0,30,Man,Right,
3,Main,22,0.4729143000440672,['left'],1,0,right,0.3130612244897959,2.4484162666947413,3.6889968769666384,2.375,0.05,0.6799999999999999,0.9240203000372276,0,30,Man,Right,
3,Main,23,0.5594390999758616,['left'],1,0,right,0.8787755102040816,2.4242187423368424,1.049762202269185,2.375,0.05,0.96,1.2538851000135764,0,30,Man,Right,
3,Main,24,0.7499053999781609,['left'],1,0,right,0.8989795918367347,2.3789285737492367,2.9327454226984306,2.375,0.05,0.8999999999999999,1.3715178999700584,0,30,Man,Right,
3,Main,25,0.767598900012672,['right'],1,180,left,0.2726530612244898,2.4168450712396843,3.1957678704972636,2.375,0.05,0.52,1.7489571000332944,0,30,Man,Right,
4,Main,1,0.6511578999925405,['right'],0,0,right,0.23224489795918368,1.7704099531070283,1.4778175629275352,2.375,0.5,-0.24,0.9303236999548972,0,30,Man,Right,
4,Main,2,0.4876287000370212,['right'],1,180,left,0.9191836734693878,2.8370844423387798,3.0507325829506438,2.375,0.5,0.96,1.3498662000056356,0,30,Man,Right,
4,Main,3,0.5319999000057578,['right'],1,180,left,0.333265306122449,3.0591040742974345,2.0480462583257246,2.375,0.5,0.76,1.1738726000185125,0,30,Man,Right,
4,Main,4,0.6348053000401706,['right'],1,180,left,0.2120408163265306,2.410386912355051,1.0536936803641443,2.375,0.5,0.6399999999999999,1.3595645999885164,0,30,Man,Right,
4,Main,5,0.6135839000344276,['left'],1,0,right,0.8989795918367347,2.60260454917277,2.500852025669775,2.375,0.5,0.98,1.2416368999984115,0,30,Man,Right,
4,Main,6,0.7151805000030436,['left'],1,0,right,0.2120408163265306,2.283920315231273,2.826382084730061,2.375,0.5,0.28,1.1652985999826342,0,30,Man,Right,
4,Main,7,0.47129359998507425,['left'],1,0,right,0.8383673469387755,2.155425994858608,1.8128410658621772,2.375,0.5,0.94,1.6334259000141174,0,30,Man,Right,
