subject_id,Condition,Stimulus,Response,Accuracy,Confidence,stimAngle,RT_dec,RT_conf
1,1,1,0,0,4,-3.615633325,0.823997123,2.167967946
1,1,1,1,1,2,1.286275963,0.674911341,2.339341422
1,1,0,0,1,3,-8.724196285,0.984212453,2.536370862
1,1,1,1,1,3,1.970763067,1.269085378,2.101024065
1,1,1,1,1,3,4.075190518,0.659573278,1.41185337
1,1,1,1,1,4,10.63965205,0.48409635,0.975334641
1,1,0,1,0,3,-1.320953807,1.179777344,2.028006804
1,1,0,0,1,3,-5.652099339,0.557590465,1.677869143
1,1,1,1,1,4,12.20514348,1.534436709,3.757796808
1,1,1,1,1,4,7.351290909,0.729298691,2.52105125
1,1,1,1,1,3,3.784566854,0.870536833,1.637830742
1,1,0,1,0,3,1.629803676,1.639978669,2.61639754
1,1,0,0,1,3,-5.448467283,1.025307547,3.617158258
1,1,1,1,1,3,7.538109584,2.145087444,4.193720015
1,1,0,0,1,2,-0.788979279,1.51430784,3.242515513
1,1,1,1,1,3,6.149851057,0.761835476,1.674223296
1,1,0,0,1,4,-8.684027626,1.57898117,2.250749918
1,1,0,1,0,4,6.814022289,0.834736105,1.506994162
1,1,0,1,0,3,0.206554427,1.689870615,2.458459014
1,1,0,0,1,4,-13.90281512,0.60215062,2.282582163
1,1,1,1,1,4,5.219637147,0.545113212,1.985488306
1,1,1,1,1,3,10.0461068,0.67674818,1.540712507
1,1,1,1,1,4,6.231254706,0.586363307,1.434714073
1,2,1,1,1,4,32.05408457,1.692077827,2.20368604
1,2,1,1,1,4,30.9571714,0.566682871,1.062032685
1,2,1,0,0,2,-9.169726256,1.023941346,1.488085488
